name,mass,radius,orbital_period,discovered,detection_type,star_name,ra,dec,star_distance,star_mass,star_radius
HD 89744 b,8.9,,256.0,2000,Radial Velocity,HD 89744,155.5416667,41.2294444,40.0,1.4,2.14
HD 89744 c,3.2,,85.2,2013,Radial Velocity,HD 89744,155.5416667,41.2294444,40.0,1.4,2.14
HD 90156 b,0.057,,49.77,2009,Radial Velocity,HD 90156,155.9791667,-29.6455556,39.6,0.84,
HD 9174 b,1.11,,1179.0,2016,Radial Velocity,HD 9174,22.504166667,-19.60444446,78.93,1.03,1.67
HD 92788 b,27.7,,325.81,2000,Radial Velocity,HD 92788,160.7,-2.1836111,32.82,1.13,0.99
HD 92788 c,0.9,,162.0,2013,Radial Velocity,HD 92788,160.7,-2.1836111,32.82,1.13,0.99
HD 93083 b,0.37,,143.58,2005,Radial Velocity,HD 93083,161.0833333,-33.5769444,28.9,0.7,
HD 93385 b,0.0263,,13.186,2011,Radial Velocity,HD 93385,161.5625,-41.4644444,42.2,,
HD 93385 c,0.0318,,46.025,2011,Radial Velocity,HD 93385,161.5625,-41.4644444,42.2,,
HD 9446 b,0.7,,30.052,2010,Radial Velocity,HD 9446,23.3333333,29.2652778,53.0,1.0,1.0
HD 9446 c,1.82,,192.9,2010,Radial Velocity,HD 9446,23.3333333,29.2652778,53.0,1.0,1.0
HD 95086 b,4.4,,,2013,Imaging,HD 95086,164.2625,-68.6672,90.4,1.6,
HD 95089 b,1.2,,507.0,2010,Radial Velocity,HD 95089,164.7,1.7291667,139.0,1.58,4.9
HD 95127 b,5.01,,482.0,2015,Radial Velocity,HD 95127,164.895833345,43.814444472,300.0,1.2,20.0
HD 9578 b,0.62,,494.0,2009,Radial Velocity,HD 9578,23.3208333,-38.245,57.24,1.12,
HD 95872 b,4.6,,4375.0,2015,Radial Velocity,HD 95872,165.866666676,-22.093888899,7.56,0.95,
HD 96063 b,0.9,,361.1,2011,Radial Velocity,HD 96063,166.1833333,-2.5133333,158.0,1.02,4.5
HD 96127 b,4.0,,647.3,2011,Radial Velocity,HD 96127,166.4416667,44.3016667,540.0,0.91,35.0
HD 96167 b,0.68,,498.9,2009,Radial Velocity,HD 96167,166.3125,-10.2913889,84.0,1.31,1.86
HD 96700 b,0.0284,,8.1256,2011,Radial Velocity,HD 96700,166.975,-30.1744444,25.6,,
HD 96700 c,0.04,,103.49,2011,Radial Velocity,HD 96700,166.975,-30.1744444,25.6,,
HD 97658 b,0.0237548374917,0.200464270612,9.4903,2010,Primary Transit,HD 97658,168.6375,25.7102778,21.1,0.85,0.73
HD 98219 b,1.8,,436.9,2011,Radial Velocity,HD 98219,169.45,-23.9752778,134.0,1.3,4.5
HD 984 b,65.0,,,2017,Imaging,HD 984,3.54166667,-7.199166683,47.1,1.2,
HD 98649 b,6.8,,4951.0,2011,Radial Velocity,HD 98649,170.2166667,-23.2172222,40.3,,
HD 99109 b,0.502,,439.3,2006,Radial Velocity,HD 99109,171.0708333,-1.5288889,60.5,0.93,
HD 99492 b,0.079,,17.054,2004,Radial Velocity,HD 99492,171.6916667,3.0061111,18.0,0.83,0.96
HD 99706 b,1.4,,868.0,2011,Radial Velocity,HD 99706,172.125,43.9666667,129.0,1.72,5.4
HD169142 b,30.0,,,2014,Imaging,HD169142,276.124104177,-29.780508082,117.0,1.65,1.6
HII 1348 b,59.0,,,2012,Imaging,HII 1348,56.825000006,24.390833347,127.0,,
HIP 105854 b,8.2,,184.2,2014,Radial Velocity,HIP 105854,321.595833341,-37.829444471,80.84,2.1,
HIP 107773 b,1.98,,144.3,2015,Radial Velocity,HIP 107773,327.5,-64.712500024,106.0,2.42,11.6
HIP 109384 b,1.56,,499.48,2016,Radial Velocity,HIP 109384,332.1333,71.3144,56.2,0.78,
HIP 109600 b,2.68,,232.08,2016,Radial Velocity,HIP 109600,333.025000002,29.065833347,58.6,0.87,
HIP 116454 b,0.0372,0.226,9.1265,2014,Primary Transit,HIP 116454,353.954166683,0.445555574,55.2,0.775,0.716
HIP 11915,0.99,,3830.0,2015,Radial Velocity,HIP 11915,38.454166683,-19.611944466,57.3,1.0,
HIP 12961 b,0.35,,57.435,2009,Radial Velocity,HIP 12961,41.6791667,-23.0866667,23.0,0.67,
HIP 14810 b,3.88,,6.673855,2006,Radial Velocity,HIP 14810,47.8083333,21.0972222,52.9,0.99,1.0
HIP 14810 c,1.28,,147.73,2006,Radial Velocity,HIP 14810,47.8083333,21.0972222,52.9,0.99,1.0
HIP 14810 d,0.57,,962.0,2009,Radial Velocity,HIP 14810,47.8083333,21.0972222,52.9,0.99,1.0
HIP 41378 b,,0.26,15.5712,2016,Primary Transit,HIP 41378,126.616666676,10.08027779,116.0,1.15,1.4
HIP 41378 c,,0.228,31.6978,2016,Primary Transit,HIP 41378,126.616666676,10.08027779,116.0,1.15,1.4
HIP 41378 d,,0.353,157.0,2016,Primary Transit,HIP 41378,126.616666676,10.08027779,116.0,1.15,1.4
HIP 41378 e,,0.492,131.0,2016,Primary Transit,HIP 41378,126.616666676,10.08027779,116.0,1.15,1.4
HIP 41378 f,,0.91,324.0,2016,Primary Transit,HIP 41378,126.616666676,10.08027779,116.0,1.15,1.4
HIP 5158 b,1.44,,345.63,2009,Radial Velocity,HIP 5158,16.5083333,-22.4530556,45.0,0.78,
HIP 5158 c,15.04,,9018.0,2010,Radial Velocity,HIP 5158,16.5083333,-22.4530556,45.0,0.78,
HIP 57050 b,0.298,,41.397,2010,Radial Velocity,HIP 57050,175.4375,42.7519444,11.0,0.34,0.4
HIP 57274 b,0.036,,8.1352,2011,Radial Velocity,HIP 57274,176.1708333,30.9591667,25.92,0.73,0.68
HIP 57274 c,0.41,,32.03,2011,Radial Velocity,HIP 57274,176.1708333,30.9591667,25.92,0.73,0.68
HIP 57274 d,0.527,,431.7,2011,Radial Velocity,HIP 57274,176.1708333,30.9591667,25.92,0.73,0.68
HIP 63242 b,9.18,,124.6,2013,Radial Velocity,HIP 63242,194.3833,-65.6464,135.0,1.54,
HIP 65407 b,0.428,,28.125,2016,Radial Velocity,HIP 65407,201.087500007,48.885000019,16.74,0.93,
HIP 65407 c,0.784,,67.3,2016,Radial Velocity,HIP 65407,201.087500007,48.885000019,16.74,0.93,
HIP 65426,9.0,1.5,,2017,Imaging,HIP 65426,201.150000012,-51.504444458,11.1,1.96,1.77
HIP 65891 b,6.0,,1084.5,2015,Radial Velocity,HIP 65891,202.604166675,-58.664444469,136.0,2.5,8.93
HIP 67537 b,11.1,,2592.5,2016,Radial Velocity,HIP 67537,207.579166673,-39.900833352,112.6,2.41,8.69
HIP 67851 b,1.38,,88.9,2014,Radial Velocity,HIP 67851,208.466666684,-35.314444462,65.96,1.63,5.52
HIP 67851 c,5.98,,2131.8,2015,Radial Velocity,HIP 67851,208.466666684,-35.314444462,65.96,1.63,5.52
HIP 68468 b,0.011,,1.8372,2016,Radial Velocity,HIP 68468,210.266666668,-32.756944465,87.8,1.05,
HIP 68468 c,0.094,,194.0,2016,Radial Velocity,HIP 68468,210.266666668,-32.756944465,87.8,1.05,
HIP 70849 b,9.0,,10000.0,2009,Radial Velocity,HIP 70849,217.3291667,-46.4638889,24.0,0.63,
HIP 73990 b,21.0,,,2015,Imaging,HIP 73990,226.812500005,-29.504444458,125.0,1.72,
HIP 73990 c,22.0,,,2015,Imaging,HIP 73990,226.812500005,-29.504444458,125.0,1.72,
HIP 74865 b,28.0,,,2015,Imaging,HIP 74865,229.483333352,-30.478055574,115.0,1.42,
HIP 74890 b,2.4,,822.3,2016,Radial Velocity,HIP 74890,229.570833339,-41.420555567,91.6,1.74,5.77
HIP 75458 b,9.39,,510.72,2002,Radial Velocity,HIP 75458,231.2291667,58.9658333,31.5,1.4,12.8
HIP 77900 b,20.0,,,2013,Imaging,HIP 77900,238.625,-27.3386,,,
HIP 78530 b,23.04,,,2011,Imaging,HIP 78530,240.4791667,-21.9802778,156.7,2.5,
HIP 79431 b,2.1,,111.7,2010,Radial Velocity,HIP 79431,243.175,-18.8755556,14.4,0.49,
HIP 8541 b,5.59,,1560.0,2016,Radial Velocity,HIP 8541,27.525000002,-54.465000021,169.0,1.17,7.83
HIP 91258 b,1.068,,5.0505,2013,Radial Velocity,HIP 91258,279.220833351,61.702500016,44.9,0.95,
HIP 97233 b,20.0,,1058.8,2014,Radial Velocity,HIP 97233,296.420833347,-0.696666691,106.5,1.93,5.34
HN Peg b,16.0,1.1,,2007,Imaging,HN Peg,326.1291667,14.7719444,18.4,1.0,
HR 2562 b,30.0,,,2016,Imaging,HR 2562,102.504226375,-60.2491437951,33.63,1.3,
HR 3549 b,45.0,,,2015,Imaging,HR 3549,133.266666668,-56.64944447,92.5,,
HR 7329,35.0,,,2000,Imaging,HR 7329,290.712500017,-54.423888903,48.0,,
HR 810 b,2.26,,320.1,1999,Radial Velocity,HR 810,40.6291667,-50.8033333,17.17,1.11,1.85
HR 8799 b,7.0,1.2,164250.0,2008,Imaging,HR 8799,346.8708333,21.1341667,39.4,1.56,1.5
HR 8799 c,10.0,1.3,82145.0,2008,Imaging,HR 8799,346.8708333,21.1341667,39.4,1.56,1.5
HR 8799 d,10.0,1.2,41054.0,2008,Imaging,HR 8799,346.8708333,21.1341667,39.4,1.56,1.5
HR 8799 e,9.0,,18000.0,2010,Imaging,HR 8799,346.8708333,21.1341667,39.4,1.56,1.5
HU Aqr (AB) c,5.9,,5646.0,2011,Pulsar,HU Aqr (AB),316.9916667,-5.2947222,,1.0,
HW Vir (AB) b,14.3,,4640.0,2008,Pulsar,HW Vir (AB),191.0833333,-8.6713889,181.0,0.627,
J1433 b,57.1,,0.054,2016,Primary Transit,J1433,218.325000006,10.189722231,,0.8,
K2-10 b,0.085,0.343,19.3044,2016,Primary Transit,K2-10,172.120833343,1.690555575,,0.92,0.98
K2-105 b,0.094,0.32,8.266902,2017,Primary Transit,K2-105,125.420833347,13.497500021,220.0,1.01,0.95
K2-106 b,0.0263,0.136,0.571292,2016,Primary Transit,EPIC 220674823,13.0797796,10.7946987,253.0,0.93,0.83
K2-106 c,0.018,0.22,13.3397,2016,Primary Transit,EPIC 220674823,13.0797796,10.7946987,253.0,0.93,0.83
K2-108 b,0.187,0.471,4.73401,2016,Primary Transit,K2-108,123.383333344,16.419722233,262.4,1.121,1.75
K2-11 b,,0.674,39.93767,2015,Primary Transit,K2-11,169.042002,1.98684,2019.0,1.35,5.15
K2-110 b,0.0525,0.2312,13.86375,2017,Primary Transit,K2-110,207.349541675,-12.2844888955,118.0,0.738,0.713
K2-12 b,,0.208,8.28212,2015,Primary Transit,K2-12,173.192036,2.244884,294.0,1.01,1.01
K2-13 b,,0.169,39.91488,2015,Primary Transit,K2-13,170.155529,2.502696,290.0,0.8,0.78
K2-137 b,0.7,0.079,0.179715,2017,Primary Transit,K2-137,186.87072501,-6.19522501318,95.0,0.463,0.442
K2-14 b,,0.429,8.36802,2015,Primary Transit,K2-14,178.057026,2.594245,219.0,0.47,0.45
K2-15 b,,0.221,11.8104,2015,Primary Transit,K2-15,178.110796,4.254747,437.0,0.72,0.68
K2-16 b,,0.18,7.6188,2015,Primary Transit,K2-16,175.097250008,4.5573333502,324.0,0.68,0.66
K2-16 c,,0.227,19.07863,2015,Primary Transit,K2-16,175.097250008,4.5573333502,324.0,0.68,0.66
K2-17 b,,0.199,17.96753,2015,Primary Transit,K2-17,178.329776,6.412261,134.0,0.71,0.66
K2-18 b,0.025,0.2,32.93963,2015,Primary Transit,K2-18,172.560461,7.588391,34.0,0.413,0.394
K2-18 c,0.0236,,8.962,2017,Radial Velocity,K2-18,172.560461,7.588391,34.0,0.413,0.394
K2-19 b,0.187,0.691,7.9194,2015,Primary Transit,K2-19,174.96033335,0.6035833482,291.0,0.93,0.86
K2-19 c,0.031,0.434,11.90715,2015,Primary Transit,K2-19,174.96033335,0.6035833482,291.0,0.93,0.86
K2-19 d,,0.102,2.50856,2015,Primary Transit,K2-19,174.96033335,0.6035833482,291.0,0.93,0.86
K2-24 b,0.0661,0.52,20.8851,2015,Primary Transit,KE-24 ,242.575000006,-24.990277803,181.0,1.12,1.21
K2-24 c,0.085,0.723,42.36342,2015,Primary Transit,KE-24 ,242.575000006,-24.990277803,181.0,1.12,1.21
K2-26 b,,0.238,14.5665,2015,Primary Transit,K2-26,94.20833335,24.595833355,,,
K2-27 b,0.0972,0.397,6.77145,2016,Primary Transit,K2-27,171.516666668,0.330833349,,0.89,0.85
K2-28 b,,0.207,2.260455,2015,Primary Transit,K2-28,335.62450001,-7.9554305789,53.0,0.257,0.288
K2-29 b,0.73,1.19,3.2588321,2016,Primary Transit,EPIC 211089792,62.670833347,24.401944454,,,
K2-3  b,0.026,0.194,10.05449,2015,Primary Transit,K2-3,172.33333334,-1.454722235,42.0,0.612,0.553
K2-3 c,0.0066,0.165,24.64354,2015,Primary Transit,K2-3,172.33333334,-1.454722235,42.0,0.612,0.553
K2-3 d,0.0349,0.135,44.5598,2015,Primary Transit,K2-3,172.33333334,-1.454722235,42.0,0.612,0.553
K2-30 b,0.624,1.196,4.098507,2016,Primary Transit,K2-30,52.341666674,22.299444463,323.0,0.984,0.941
K2-31 b,1.774,1.06,1.25785,2016,Primary Transit,K2-31 ,245.440837515,-23.547866689,,0.91,0.78
K2-32 b,0.0519,0.48,8.99218,2015,Primary Transit,EPIC 205071984,252.426112514,-19.5428000182,,0.87,0.87
K2-32 c,0.04,0.31,20.65614,2015,Primary Transit,EPIC 205071984,252.426112514,-19.5428000182,,0.87,0.87
K2-32 d,0.0343,0.335,31.71922,2015,Primary Transit,EPIC 205071984,252.426112514,-19.5428000182,,0.87,0.87
K2-33 b,3.6,0.451,5.42513,2016,Primary Transit,EPIC 205117205,242.562500005,-19.319166675,145.0,0.54,1.06
K2-34 b,1.78,1.35,2.995607,2016,Primary Transit,K2-34,127.579166673,22.23583334,377.0,1.281,1.526
K2-35 b,,0.0964,2.39991,2015,Primary Transit,K2-35,170.103079175,1.28595556332,,0.663,0.601
K2-35 c,,0.151,5.60906,2015,Primary Transit,K2-35,170.103079175,1.28595556332,,0.663,0.601
K2-39 b,0.125,0.73,4.60543,2016,Primary Transit,K2-39,339.866666676,-9.022777783,255.0,1.53,3.88
K2-4 b,,0.211,10.00329,2015,Primary Transit,K2-4,174.74562502,-3.9055833558,218.0,0.63,0.6
K2-5 b,,0.171,5.73491,2015,Primary Transit,K2-5,169.303502,-1.877976,181.0,0.53,0.52
K2-5 c,,0.171,10.93406,2015,Primary Transit,K2-5,169.303502,-1.877976,181.0,0.53,0.52
K2-6 b,,0.223,30.94191,2015,Primary Transit,K2-6,178.19226,-1.198477,343.0,0.97,0.96
K2-60 b,0.426,0.683,3.00265,2016,Primary Transit,K2-60,338.606208342,-13.7317028041,,0.97,1.12
K2-66 b,0.067,0.222,5.06963,2017,Primary Transit,K2-66,331.526700002,-10.7115500232,,1.11,1.67
K2-7 b,,0.238,28.67992,2015,Primary Transit,K2-7,167.093771,-1.065755,433.0,0.97,0.96
K2-77 b,1.9,0.205,8.199796,2016,Primary Transit,K2-77,55.2284166849,12.5726111272,125.0,0.8,0.76
K2-8 b,,0.319,10.35239,2015,Primary Transit,K2-8,169.79366667,-0.2843888954,,0.79,0.74
K2-9 b,,0.143,18.44883,2015,Primary Transit,K2-9,176.264467,0.005301,66.0,0.24,0.25
K2-95 b,1.67,0.33,10.134588,2016,Primary Transit,EPIC 211916756,129.362741676,18.9766861385,,0.43,0.44
K2-97 b,1.1,1.31,8.4061,2016,Primary Transit,K2-97,127.762854168,10.8475916947,,1.16,4.2
K2-99 b,0.97,1.29,18.249,2016,Primary Transit,EPIC 212803289,208.773750002,-5.44246668264,604.0,1.6,3.1
KELT-1 b,27.38,1.116,1.217514,2012,Primary Transit,KELT-1,0.358333342,39.383611119,263.0,1.335,1.471
KELT-10 b,0.679,1.399,4.166285,2015,Primary Transit,KELT-10,284.545833337,-47.003333336,183.0,1.112,1.209
KELT-11 b,0.195,1.37,4.736529,2016,Primary Transit,KELT-11,161.70833335,-9.399166687,98.0,1.438,2.72
KELT-15 b,0.92,1.443,3.329441,2015,Primary Transit,KELT-15,117.41666668,-52.120555561,201.0,1.181,1.481
KELT-16 b,2.75,1.415,0.9689951,2016,Primary Transit,KELT-16,314.268479168,31.6609916885,365.0,1.211,1.36
KELT-17 b,1.31,1.525,3.0801716,2015,Primary Transit,KELT-17,125.616666676,13.735277794,210.0,1.635,1.645
KELT-18 b,1.18,1.57,2.8717518,2017,Primary Transit,KELT-18,216.525000002,59.444166684,311.0,1.524,1.908
KELT-19 A b,4.07,1.91,4.6117093,2017,Primary Transit,KELT-19 A,111.512500001,7.615833358,255.0,1.62,1.83
KELT-2 A b,1.486,1.306,4.1137914,2012,Primary Transit,KELT-2 A,92.6625,30.9572222,128.9,1.31,1.842
KELT-20 b,3.518,1.735,3.4741085,2017,Primary Transit,HD 185603,294.661396263,31.2192261175,,2.0,1.561
KELT-3 b,1.418,1.333,2.7033902,2012,Primary Transit,KELT-3,148.6417,40.3881,178.0,1.282,1.482
KELT-4 A b,0.884,1.706,2.9895933,2013,Radial Velocity,KELT-4 A,157.062545838,25.573194461,211.0,1.204,1.61
KELT-6 b,0.442,1.18,7.845582,2013,Primary Transit,KELT-6,195.9833,30.64,,1.126,1.529
KELT-6 c,3.71,,1276.0,2015,Radial Velocity,KELT-6,195.9833,30.64,,1.126,1.529
KELT-7 b,1.29,1.533,2.7347749,2015,Primary Transit,KELT-7,78.295833337,33.318055563,129.0,1.535,1.732
KELT-8 b,0.874,1.86,3.24406,2015,Primary Transit,KELT-8,283.304166671,24.127500011,236.0,1.211,1.67
KIC 10001893 b,,,0.2197,2014,Pulsar,KIC 10001893,287.389191,46.984489,,0.47,
KIC 10001893 d,,,0.81161,2014,Pulsar,KIC 10001893,287.389191,46.984489,,0.47,
KIC 10024862 b,,0.49,567.0445,2015,Primary Transit,KIC 10024862,296.804166671,46.934444464,,1.07,1.11
KIC 10255705 b,,0.65,707.3793,2013,Primary Transit,KIC 10255705 ,,282.854166675,,,0.29
KIC 10905746 b,,0.237,9.8844,2011,Primary Transit,KIC 10905746,283.6291667,48.3911111,,0.578,0.548
KIC 11152511 b,,0.36,287.363,2013,Primary Transit,KIC 11152511,298.062500005,48.725000021,,1.01,2.08
KIC 12454613 b,,0.228,736.3819,2013,Primary Transit,KIC 12454613,288.170833347,51.382222242,,0.87,0.82
KIC 12557548 b,6.3e-05,0.0758320560836,0.653553,2012,Primary Transit,KIC 12557548,290.9667,51.5047,470.0,0.7,0.65
KIC 5010054 b,,0.62,904.24,2013,Primary Transit,KIC 5010054,291.5,40.1828,,1.05,2.17
KIC 5094412 b,,0.51,276.88,2013,Primary Transit,KIC 5094412,290.3,40.2878,,0.82,0.8
KIC 5095269(AB) b,7.698,,237.70817,2017,Other,KIC 5095269(AB),290.551941671,40.2350222282,,,
KIC 5522786 b,,0.11,757.1639,2013,Primary Transit,KIC 5522786,288.3417,40.7314,,1.79,1.3
KIC 5732155 b,,1.14,644.1685,2013,Primary Transit,KIC 5732155,298.425,40.9067,,1.13,1.99
KIC 6185331 b,,0.529,49.76971,2011,Primary Transit,KIC 6185331,284.275,41.535,,1.027,1.27
KIC 6372194 b,,0.74,281.5848,2013,Primary Transit,KIC 6372194,294.3375,41.7475,,0.8,0.75
KIC 6436029 b,,0.274,505.45,2013,Primary Transit,KIC 6436029,289.538818,41.892818,,0.83,0.83
KIC 7917485 b,11.8,,840.0,2016,Other,KIC 7917485,299.434583348,43.6326111362,,1.63,
KIC 8012732 b,,0.87,431.4681,2015,Primary Transit,KIC 8012732,284.729166685,43.864166695,,0.92,1.22
KIC 9413313 b,,,,2015,Primary Transit,KIC 9413313,295.41666668,45.903611132,,0.95,1.45
KIC 9662267 b,,0.34,466.202,2013,Primary Transit,KIC 9662267,296.79166667,46.350000007,,0.86,0.89
KIC 9704149 b,,0.4,697.0159,2013,Primary Transit,KIC 9704149,289.162500013,46.421666679,,0.86,0.78
KOI-1089.02,0.64,0.625,12.21826,2014,Primary Transit,Kepler-418,294.433333348,38.355555567,,0.98,1.094
KOI-1299 c,2.63,,411.0,2014,Radial Velocity,Kepler-432,293.283333336,48.285833341,874.0,1.35,4.15
KOI-1843 b,0.001,0.052,0.1768913,2013,Primary Transit,KOI-1843,285.0125,40.2208,,0.46,0.45
KOI-188 b,0.25,0.978,3.79701816,2014,Primary Transit,KOI-188,290.358333342,40.56777779,650.0,0.93,0.86
KOI-192 b,0.29,1.23,10.290994,2014,Primary Transit,KOI-192,288.254166667,43.705000018,1100.0,0.96,1.35
KOI-195 b,0.34,1.09,3.21751883,2014,Primary Transit,KOI-195,289.433333348,49.473333348,880.0,0.91,0.92
KOI-2700 b,0.00270584903879,0.0945670346454,0.910022,2013,Primary Transit,KOI-2700,297.004166667,44.775000022,,0.632,0.574
KOI-368.01,,1.83,110.3216,2014,Primary Transit,KOI-368,290.854166675,42.086944449,1070.0,2.17,2.043
KOI-415 b,62.14,0.79,166.78805,2013,Primary Transit,KOI-415,293.306050004,41.6063722393,,0.94,1.25
KOI-4427.01,,0.164,147.6606,2015,Primary Transit,KOI-4427,295.116666676,39.274166678,240.0,0.526,0.505
KOI-5833 b,,0.31,440.167,2015,Primary Transit,KOI-5833,286.591666674,48.220277785,,0.98,1.0
KOI-5929 b,,0.37,466.0001,2015,Primary Transit,KOI-5929,293.866666676,49.800277794,,0.86,0.82
KOI-620.02,0.0239121542963,0.865377581189,130.194,2014,TTV,Kepler-51,296.4792,49.9378,,1.0,0.91
KOI-682 b,,0.88,562.70945,2015,Primary Transit,KOI-682,295.200000016,43.269444452,,1.02,1.17
KOI-771 b,,1.23,670.6502,2015,Primary Transit,KOI-771,296.700000016,49.316388908,,0.95,0.94
KOI-830 b,1.27,1.08,3.52563254,2014,Primary Transit,KOI-830,290.58333334,40.57750002,730.0,0.87,0.8
Kapteyn's b,0.0151024132398,,48.616,2014,Radial Velocity,Kapteyn's,77.920833347,-45.018333335,3.91,0.281,0.29
Kapteyn's c,0.0220243526413,,121.54,2014,Radial Velocity,Kapteyn's,77.920833347,-45.018333335,3.91,0.281,0.29
Kepler 1651 A b,,0.164,9.87863917,2017,Primary Transit,Kepler-1651 A,283.62885,48.391003,69.4,0.522,0.503
Kepler-10 b,0.0104772991851,0.1314,0.83749026,2011,Primary Transit,Kepler-10,285.6791667,50.2413889,173.0,0.91,1.065
Kepler-10 c,0.0541183663676,0.2072,45.294301,2011,Primary Transit,Kepler-10,285.6791667,50.2413889,173.0,0.91,1.065
Kepler-100 b,0.0231,0.1164,6.887037,2014,Primary Transit,Kepler-100,291.385833344,41.990000025,310.34,1.109,1.5131
Kepler-100 c,0.0027,0.1981,12.815909,2014,Primary Transit,Kepler-100,291.385833344,41.990000025,310.34,1.109,1.5131
Kepler-100 d,0.0094,0.1351,35.33313,2014,Primary Transit,Kepler-100,291.385833344,41.990000025,310.34,1.109,1.5131
Kepler-1000 b,,0.425,120.0181272,2016,Primary Transit,Kepler-1000,286.685523,47.098221,925.0,1.4,1.51
Kepler-1001 b,,0.281,14.30511983,2016,Primary Transit,Kepler-1001,286.273871,48.618706,1009.0,0.9,0.88
Kepler-1002 b,,0.153,4.33642933,2016,Primary Transit,Kepler-1002,293.079495,43.073715,425.0,1.22,1.57
Kepler-1003 b,,0.159,3.55485691,2016,Primary Transit,Kepler-1003,292.020456,44.876217,873.0,1.11,1.17
Kepler-1004 b,,0.56,5.28789787,2016,Primary Transit,Kepler-1004,297.359299,49.79755,1080.0,1.11,3.39
Kepler-1005 b,,0.134,6.49801525,2016,Primary Transit,Kepler-1005,286.286014,43.320461,515.0,1.0,1.06
Kepler-1006 b,,0.137,19.76172042,2016,Primary Transit,Kepler-1006,295.754127,42.537476,496.0,0.78,0.74
Kepler-1007 b,,0.128,5.18500207,2016,Primary Transit,Kepler-1007,295.906552,45.80912,365.0,0.73,0.7
Kepler-1008 b,,0.114,12.43931193,2016,Primary Transit,Kepler-1008,296.547525,44.941933,299.0,0.81,0.78
Kepler-1009 b,,0.194,11.35011917,2016,Primary Transit,Kepler-1009,282.85993,42.665764,281.0,0.59,0.57
Kepler-101 b,,0.524,3.487691,2014,Primary Transit,Kepler-101,283.2554931,48.355228,,1.12,1.67
Kepler-101 c,,0.119,6.029809,2014,Primary Transit,Kepler-101,283.2554931,48.355228,,1.12,1.67
Kepler-1010 b,,0.207,34.2685705,2016,Primary Transit,Kepler-1010,289.192636,44.149326,610.0,0.86,0.82
Kepler-1011 b,,0.256,5.75322197,2016,Primary Transit,Kepler-1011,297.401546,46.824001,860.0,0.91,0.88
Kepler-1012 b,,0.115,5.50860439,2016,Primary Transit,Kepler-1012,289.29627,46.457954,420.0,0.95,0.91
Kepler-1013 b,,0.192,18.93054959,2016,Primary Transit,Kepler-1013,290.248072,44.435242,433.0,0.81,0.76
Kepler-1014 b,,0.213,16.57110363,2016,Primary Transit,Kepler-1014,285.122033,44.110603,672.0,0.88,0.84
Kepler-1015 b,,0.317,16.00494214,2016,Primary Transit,Kepler-1015,292.75733,43.42691,932.0,1.49,1.81
Kepler-1016 b,,0.194,1.95452434,2016,Primary Transit,Kepler-1016,294.613645,45.984623,1239.0,0.99,1.0
Kepler-1016 c,,0.328,105.6551369,2016,Primary Transit,Kepler-1016,294.613645,45.984623,1239.0,0.99,1.0
Kepler-1017 b,,0.178,7.23400469,2016,Primary Transit,Kepler-1017,283.469362,40.132607,554.0,0.93,0.87
Kepler-1018 b,,0.23,49.1013514,2016,Primary Transit,Kepler-1018,283.596696,45.407879,894.0,0.91,0.88
Kepler-1019 b,,0.13,1.41122985,2016,Primary Transit,Kepler-1019,283.717526,47.204449,198.0,0.7,0.67
Kepler-102 b,0.0013,0.042,5.28696,2014,Primary Transit,Kepler-102,281.482727,47.208031,,0.81,0.76
Kepler-102 c,0.009,0.052,7.07142,2013,Primary Transit,Kepler-102,281.482727,47.208031,,0.81,0.76
Kepler-102 d,0.0082,0.104,10.3117,2014,Primary Transit,Kepler-102,281.482727,47.208031,,0.81,0.76
Kepler-102 e,0.0281,0.198,16.14569,2013,Primary Transit,Kepler-102,281.482727,47.208031,,0.81,0.76
Kepler-102 f,0.002,0.079,27.4536,2013,Primary Transit,Kepler-102,281.482727,47.208031,,0.81,0.76
Kepler-1020 b,,0.203,96.9151496,2016,Primary Transit,Kepler-1020,292.672551,46.377422,446.0,0.87,0.8
Kepler-1021 b,,0.208,13.47469571,2016,Primary Transit,Kepler-1021,295.204905,42.559681,837.0,0.89,0.86
Kepler-1022 b,,0.211,10.99469878,2016,Primary Transit,Kepler-1022,289.352005,46.973728,455.0,0.71,0.68
Kepler-1023 b,,0.235,62.1387714,2016,Primary Transit,Kepler-1023,289.029742,49.769707,686.0,0.93,0.89
Kepler-1024 b,,0.349,66.4162133,2016,Primary Transit,Kepler-1024,291.950991,38.251698,1017.0,0.81,0.78
Kepler-1025 b,,0.177,37.3229493,2016,Primary Transit,Kepler-1025,284.510201,43.961666,716.0,1.09,1.13
Kepler-1026 b,,0.197,36.5156053,2016,Primary Transit,Kepler-1026,283.605263,39.99798,389.0,0.79,0.75
Kepler-1027 b,,0.079,1.9078052,2016,Primary Transit,Kepler-1027,287.571185,42.813923,291.0,0.91,0.82
Kepler-1028 b,,0.119,2.51462432,2016,Primary Transit,Kepler-1028,289.593097,49.781158,633.0,0.9,0.87
Kepler-1029 b,,0.112,4.41769648,2016,Primary Transit,Kepler-1029,292.132976,41.54754,422.0,0.82,0.77
Kepler-103 b,0.031,0.3101,15.965316,2014,Primary Transit,Kepler-103,288.859541675,40.0645277904,473.56,1.099,1.455
Kepler-103 c,0.114,0.4745,179.6133,2014,Primary Transit,Kepler-103,288.859541675,40.0645277904,473.56,1.099,1.455
