1090
Yegoryevsk 8	Krasnoarmeysk 31 Roslavl 23 Abakan 154 Plast 184 Nolinsk 28 Novosil 168 Zeya 134 MariinskyPosad 54 
Chistopol 4	Nazran 165 Rossosh 169 Alapayevsk 78 Korenovsk 59 
MineralnyeVody 8	Vereshchagino 142 Mezhdurechensk 28 Oboyan 118 Borodino 39 Ostrogozhsk 74 Dmitrov 113 Svirsk 15 Yershov 69 
Slavsk 8	Biryusinsk 137 Aldan 143 Sovetsky 13 Slantsy 103 Buynaksk 19 Derbent 141 Kaltan 158 Minyar 188 
Chernogolovka 7	Blagoveshchensk 129 Kotovo 87 Bologoye 108 Novorossiysk 185 Karasuk 160 Nyazepetrovsk 119 Nazyvayevsk 156 
Buinsk 11	Kubinka 23 Zmeinogorsk 198 Podolsk 73 Mikhaylovka 47 Mikhaylov 63 Ivanovo 137 Kalachinsk 37 Novosil 61 Andreapol 193 Tula 60 Zherdevka 18 
Roshal 5	Snezhinsk 16 Pokachi 15 Kusa 107 Bor 26 Gus-Khrustalny 152 
Apsheronsk 8	Gagarin 44 Cheremkhovo 113 Starodub 151 Kirzhach 179 Yemanzhelinsk 167 Yugorsk 60 Dzerzhinsky 82 Lebedyan 72 
Glazov 11	Zavolzhye 15 Solvychegodsk 123 Shimanovsk 103 Zhirnovsk 43 Menzelinsk 70 Manturovo 39 Zelenokumsk 59 Shchyolkovo 37 Ust-Labinsk 30 Angarsk 66 Mozdok 55 
Michurinsk 8	Kedrovy 186 Novoalexandrovsk 66 Karachev 125 Urus-Martan 136 Skopin 156 Ob 76 Novocherkassk 133 Chebarkul 30 
Kurtamysh 8	Zhukov 75 Turinsk 23 Vilyuysk 15 Kanash 187 Pochinok 50 Partizansk 151 Rasskazovo 90 Ardatov 199 
Mozhga 9	Tarko-Sale 121 Yasny 158 Kadnikov 188 Degtyarsk 166 VelikiyeLuki 74 Troitsk 29 Laishevo 89 Barysh 175 Kulebaki 73 
Magnitogorsk 8	Spassk-Dalny 75 Kirzhach 69 Kirillov 140 Velsk 103 LodeynoyePole 175 Valuyki 88 Miass 170 Kalach 79 
Tyrnyauz 10	Shikhany 30 Buzuluk 13 Dalnerechensk 133 Igarka 157 Nytva 180 Kataysk 135 Minusinsk 58 Gryazovets 190 Monchegorsk 78 Vladivostok 143 
Chekhov 6	Shali 161 Kireyevsk 60 Karpinsk 46 Krasnogorsk 142 Amursk 31 Sterlitamak 130 
Abinsk 4	Yermolino 62 Tula 197 Kolpino 18 Kolpashevo 99 
Kazan 5	Kanash 83 Mezhdurechensk 160 Bryansk 104 Kiselyovsk 73 Voskresensk 140 
Maysky 13	Agryz 73 Prokhladny 56 Tomsk 169 Balakhna 180 Kizilyurt 139 Pokachi 196 Alexandrovsk-Sakhalinsky 28 Syasstroy 92 Balabanovo 129 Sychyovka 171 Pervomaysk 63 Nazyvayevsk 60 Roslavl 83 
Artyom 11	Biysk 27 Arkadak 12 Tashtagol 44 StarayaKupavna 147 Kudymkar 22 Noyabrsk 103 Ishimbay 156 Ozyorsk 86 Ochyor 163 Sosnovka 180 Pokrovsk 131 
Tatarsk 5	Mozhaysk 119 Krasnokamsk 179 Pushkin 119 Obluchye 42 Mogocha 109 
Asha 3	Toguchin 54 Narimanov 184 Chebarkul 108 
Mezhdurechensk 7	Tynda 61 Kazan 160 NaberezhnyeChelny 98 Nizhneudinsk 49 MineralnyeVody 28 Tashtagol 51 Gubkin 157 
Troitsk 8	Krasnokamensk 84 Khabarovsk 100 Mozhga 29 Agidel 41 Ertil 100 Tomari 130 Zelenodolsk 190 Inta 128 
Kanash 9	Novozybkov 82 Kharovsk 95 Kurtamysh 187 Desnogorsk 11 Kazan 83 Kotelnikovo 83 Aleksin 188 Sursk 85 Ryazhsk 192 
Priozersk 6	Zeya 167 Zheleznovodsk 115 Navashino 28 Novomoskovsk 43 Ertil 100 Uglegorsk 79 
Gusinoozyorsk 8	Stavropol 47 Shelekhov 48 Zheleznodorozhny 50 Boksitogorsk 191 Snezhnogorsk 180 Petergof 63 Arsk 168 Mamadysh 160 
Syzran 8	Rodniki 146 Budyonnovsk 115 Yeniseysk 194 Pavlovo 187 Nelidovo 145 Pravdinsk 34 Plyos 75 Shatsk 64 
Kartaly 9	Dzerzhinsk 86 Kharovsk 149 Medvezhyegorsk 92 Berdsk 80 Gelendzhik 175 Novodvinsk 135 Tuymazy 44 Ust-Ilimsk 196 Vologda 188 
Ryazan 12	Zainsk 98 Fatezh 147 StaryOskol 129 Protvino 151 Soltsy 175 Volodarsk 25 Susuman 39 Povorino 145 Balashov 109 Bolgar 61 Sovetsky 170 Kremyonki 189 
Sudogda 12	Toropets 155 Severomorsk 12 Chernyakhovsk 50 Kalyazin 88 Barabinsk 20 Sosnogorsk 126 Kyakhta 199 Vilyuysk 11 Smolensk 106 Kropotkin 113 Kamyshin 48 Bely 130 
Myski 6	Kamenka 46 VelikyUstyug 107 NovayaLyalya 164 Sukhinichi 160 Kurchatov 94 Sychyovka 20 
Slyudyanka 7	Talitsa 104 Muravlenko 114 Plavsk 102 Svirsk 127 Rybnoye 178 Neftegorsk 191 Chusovoy 138 
Yalutorovsk 5	Ostashkov 41 Akhtubinsk 183 Sarapul 130 Kalachinsk 114 Reutov 76 
Bryansk 7	Osinniki 37 Kazan 104 Tosno 144 Severobaykalsk 98 Temryuk 75 Karabulak 53 Balashikha 22 
Strunino 5	Novokubansk 86 Naryan-Mar 155 Novosokolniki 76 Kamenka 125 Tarusa 58 
Khadyzhensk 4	Volzhsky 72 Agidel 195 Zhukovsky 83 Sorsk 34 
Gryazovets 8	Uryupinsk 171 Tyrnyauz 190 Gubkin 135 Svirsk 159 Turinsk 62 Dmitriyev 155 Zhukovsky 51 Udachny 117 
Livny 4	Sayanogorsk 139 Zhukov 56 Syasstroy 133 Semyonov 124 
Chyormoz 9	Gdov 178 DagestanskiyeOgni 76 Gulkevichi 45 VerkhnyTagil 148 Kondrovo 139 Kommunar 57 Porkhov 98 Mednogorsk 127 Vyborg 196 
Tashtagol 6	Artyom 44 Mezhdurechensk 51 StaryOskol 102 Megion 90 Budyonnovsk 144 Mozdok 155 
Krasnokamensk 9	Birobidzhan 54 Kargopol 196 Mikun 84 Elista 134 Kislovodsk 30 Gorno-Altaysk 152 Shimanovsk 187 Troitsk 84 Gorbatov 195 
Berdsk 16	Yasnogorsk 90 BolshoyKamen 18 Kurovskoye 50 Semikarakorsk 120 Zhukovsky 135 Alatyr 185 Donskoy 85 Spassk-Ryazansky 103 Kartaly 80 NizhnyayaSalda 56 Arsenyev 101 Irkutsk 130 Makarov 17 Gulkevichi 147 Bolotnoye 67 Dorogobuzh 37 
Ivanovo 5	NaberezhnyeChelny 50 Buy 169 Buinsk 137 Belgorod 80 Pokhvistnevo 188 
StarayaKupavna 7	Murashi 21 Artyom 147 Krasnoufimsk 97 Kirensk 40 Petrozavodsk 44 Torzhok 170 Kirovgrad 171 
Okhansk 6	Gorodovikovsk 163 Toropets 47 Pechora 36 VyatskiyePolyany 86 Cherepovets 108 Yakhroma 128 
Iskitim 11	NovyUrengoy 17 Kubinka 30 Frolovo 143 Dalnegorsk 94 Baksan 157 Yelnya 15 Kem 167 Zernograd 136 Ozyorsk 137 Dyurtyuli 132 Tula 82 
NizhnyTagil 3	Krasnoznamensk 156 Kuybyshev 199 Nakhodka 190 
Polevskoy 8	Tuapse 37 Srednekolymsk 96 Shakhty 83 Chulym 23 Korkino 25 Pustoshka 61 Sosnogorsk 92 Bratsk 192 
Pionersky 3	Apatity 135 Nalchik 128 Znamensk 72 
Polessk 8	Shebekino 45 Zima 25 Borisoglebsk 129 Teykovo 198 Nyandoma 157 GavrilovPosad 32 Zhukovka 10 Neftekamsk 60 
Cherdyn 11	Yugorsk 101 Sim 101 Kirishi 167 Arzamas 112 Neryungri 121 Usolye 122 Verkhoturye 41 Slobodskoy 193 Shilka 137 Ivanteyevka 168 Borisoglebsk 175 
Ruzayevka 9	Karabash 195 Lyantor 149 Volchansk 33 Salair 101 Berezovsky 26 Bavly 30 Shebekino 143 Voskresensk 12 Morozovsk 34 
Pushkino 4	Verkhoyansk 59 Karpinsk 104 Balashikha 62 Proletarsk 13 
Vyazniki 10	Rylsk 148 Primorsko-Akhtarsk 51 Pavlovo 56 Surazh 158 Tobolsk 185 Kineshma 161 Irbit 179 Sergach 186 Kushva 47 Omsk 100 
Syasstroy 9	Susuman 102 Livny 133 Uchaly 198 Chegem 63 Maysky 92 Yermolino 177 Andreapol 179 Tommot 140 Vologda 142 
Gatchina 9	Peresvet 98 Gus-Khrustalny 45 Lgov 134 Shumerlya 149 Yakutsk 13 Alzamay 178 Yeniseysk 138 Petrovsk-Zabaykalsky 162 Kodinsk 178 
Yelizovo 5	Prokopyevsk 174 Zmeinogorsk 49 Lipki 76 Soltsy 11 Shatura 110 
Agryz 10	Mezhgorye 42 Dzerzhinsk 18 Sortavala 33 Maysky 73 Arsk 132 Mikhaylovsk 68 Zheleznodorozhny 149 Volkhov 136 Chusovoy 166 Berezniki 175 
PetrovVal 11	Teykovo 65 Slavyansk-na-Kubani 33 Noginsk 163 Nevelsk 186 Sovetsky 109 Puchezh 63 StaryOskol 53 Spas-Klepiki 76 Asino 140 Chekalin 39 Kalach-na-Donu 109 
Lakinsk 10	Zlynka 77 Stavropol 119 Leninogorsk 102 Bogoroditsk 131 NizhnyayaSalda 49 Shimanovsk 199 Orenburg 84 Balashov 32 Pokhvistnevo 47 Stupino 133 
Kholmsk 3	Tynda 30 Sokol 11 Tomari 132 
Vereshchagino 6	Korkino 153 Mezen 122 MineralnyeVody 142 Unecha 173 Lyubim 155 Liski 58 
Kargat 4	Uglegorsk 88 Innopolis 127 Lyubertsy 30 Leninsk-Kuznetsky 153 
Mtsensk 3	Fatezh 98 Sosnovoborsk 30 Sukhinichi 113 
Tikhoretsk 6	Digora 86 Tavda 179 Dorogobuzh 56 Ladushkin 174 Vikhorevka 91 Georgiyevsk 155 
Ostashkov 11	Korocha 127 Volkhov 89 Monchegorsk 173 Naro-Fominsk 94 Torzhok 173 Yalutorovsk 41 Strezhevoy 140 Asbest 29 Kizilyurt 173 Toguchin 43 Vologda 198 
Kirzhach 6	Nesterov 70 Apsheronsk 179 Omsk 116 Baymak 47 Magnitogorsk 69 Surazh 37 
Karabulak 6	Bryansk 53 Chaykovsky 22 Sibay 178 Zaozyorny 15 Boksitogorsk 39 Gorbatov 22 
Nikolayevsk 8	Poshekhonye 12 Mikhaylov 89 Uzhur 194 Kem 40 Khabarovsk 134 Zavitinsk 179 Kamen-na-Obi 196 Chernogorsk 28 
Naryan-Mar 7	Tavda 40 Zavolzhye 199 Kirov 189 Vereya 82 Strunino 155 Velizh 187 SosnovyBor 29 
Knyaginino 4	Angarsk 168 Turan 169 Sengiley 33 Pechora 10 
Urzhum 9	Verkhneuralsk 182 Alzamay 72 Primorsko-Akhtarsk 175 Zlatoust 148 Tsivilsk 196 Aznakayevo 187 Protvino 24 Svetlograd 34 Chebarkul 50 
Galich 7	Zhirnovsk 36 Novocheboksarsk 115 Makushino 50 Karabash 95 Opochka 28 Korenovsk 88 Meshchovsk 22 
Apatity 7	Cherepovets 154 NizhnyLomov 26 Chaykovsky 122 Snezhinsk 46 Gryazi 61 Pionersky 135 Sursk 181 
Sibay 4	Volokolamsk 63 Ivdel 170 Karabulak 178 Konstantinovsk 196 
KrasnySulin 8	Lensk 31 Meshchovsk 174 Leninogorsk 45 Medvezhyegorsk 145 Navoloki 14 Lomonosov 114 Yeysk 42 Sosnovoborsk 190 
Boksitogorsk 11	Yuryevets 118 Karabulak 39 Balakhna 187 Zelenogradsk 187 Angarsk 133 Shakhunya 59 Talitsa 117 Gusinoozyorsk 191 Belozersk 191 Krasnokamsk 103 Kashin 34 
Aleysk 8	Shchuchye 158 Mogocha 150 Yaroslavl 68 Pervouralsk 181 Frolovo 77 Lukoyanov 19 Venyov 38 Orekhovo-Zuyevo 199 
Frolovo 10	Prokhladny 19 Orsk 119 Anapa 96 NovyUrengoy 134 Aleysk 77 Dno 199 Iskitim 143 Lesnoy 118 Novouzensk 98 Moscow 172 
Blagodarny 8	Kamen-na-Obi 161 Kolomna 132 Golitsyno 64 Unecha 168 Kolomna 120 Kyakhta 170 VelikyNovgorod 39 Vologda 17 
Kambarka 3	Orsk 73 Kupino 199 Omutninsk 134 
Torzhok 9	Nikolsk 160 Tynda 165 StarayaKupavna 170 Pervomaysk 113 Leninsk-Kuznetsky 190 Talitsa 44 Novomichurinsk 130 Ostashkov 173 Uren 168 
Plyos 8	Pugachyov 141 Kasli 163 Primorsk 76 Zavolzhye 85 Novomoskovsk 25 Syzran 75 Svetlogorsk 33 Novosibirsk 40 
Sergach 12	Kurlovo 163 Vyazniki 186 Slantsy 178 Isilkul 79 Borisoglebsk 83 Tula 175 Saransk 74 Yemva 106 Irbit 162 Novoshakhtinsk 11 Odintsovo 69 Igarka 58 
Severouralsk 5	Kotovsk 82 Alzamay 126 Kedrovy 111 Zherdevka 189 Primorsko-Akhtarsk 67 
Agidel 8	Sevsk 34 Khadyzhensk 195 Troitsk 41 Gadzhiyevo 137 Zarechny 134 Chernushka 103 Mikhaylovsk 60 Shcherbinka 166 
Alapayevsk 7	Chistopol 78 Dyurtyuli 163 Ust-Ilimsk 120 Chudovo 36 Cheremkhovo 43 Pevek 12 Nakhodka 69 
Ertil 11	Sysert 74 Krasavino 198 Yershov 171 Pravdinsk 186 Lyuban 98 Troitsk 100 Priozersk 100 Svetly 25 Novoaltaysk 124 Petrovsk 179 Mezhgorye 52 
Bogotol 7	Serdobsk 74 Serpukhov 25 SaintPetersburg 10 Nolinsk 93 Leninogorsk 33 Volzhsky 41 Belyov 102 
Anapa 9	Ust-Dzheguta 89 Omsk 186 Velsk 108 Donetsk 145 Novotroitsk 170 Lyskovo 94 Frolovo 96 Kamyshin 51 Lytkarino 79 
Khanty-Mansiysk 11	Shchyolkovo 139 VyatskiyePolyany 96 Ob 195 Desnogorsk 10 Svobodny 87 Chegem 150 Volgorechensk 163 NovayaLyalya 90 Bugulma 115 Toropets 55 Mozhaysk 27 
Rybinsk 6	Shakhtyorsk 10 Klimovsk 137 Sayanogorsk 114 Starodub 77 Mendeleyevsk 24 Sarov 112 
Verkhoyansk 9	Sebezh 136 Lysva 200 Bakal 71 Zavolzhsk 199 Mezen 158 VerkhnyayaPyshma 142 Semikarakorsk 155 Pushkino 59 Nakhodka 194 
Yemanzhelinsk 6	Apsheronsk 167 Sokol 168 Borovsk 83 Tavda 17 Izberbash 187 VelikiyeLuki 31 
Grayvoron 7	Yelets 141 Teykovo 119 Zverevo 132 Gvardeysk 168 Svetly 83 Lomonosov 46 Ukhta 193 
Buynaksk 10	Saratov 58 Slavsk 19 Inta 32 Vuktyl 143 Gremyachinsk 133 Novocheboksarsk 137 Ust-Katav 96 Kronstadt 43 Dobryanka 151 Gukovo 36 
Saratov 4	StarayaRussa 133 Sarov 114 Buynaksk 58 Shelekhov 184 
Skopin 4	Michurinsk 156 Kirov 182 Gubakha 136 Perm 156 
Snezhnogorsk 6	Gusinoozyorsk 180 Krasnogorsk 72 Nyagan 80 NizhnyNovgorod 187 Inza 159 Vesyegonsk 41 
Trubchevsk 4	Vorkuta 132 Baykalsk 39 Toropets 15 Isilkul 172 
Orsk 12	Norilsk 132 Nizhneudinsk 43 Temryuk 188 Blagoveshchensk 81 Frolovo 119 Kambarka 73 Kolchugino 163 Ozyorsk 40 Slavyansk-na-Kubani 122 Yekaterinburg 187 Kyshtym 29 Ust-Dzheguta 49 
DagestanskiyeOgni 6	Kolpino 46 Semikarakorsk 76 Demidov 37 Ulan-Ude 77 Chyormoz 76 Mglin 62 
Ak-Dovurak 5	Dalnerechensk 100 Neftekamsk 126 Norilsk 42 Zavodoukovsk 100 Ussuriysk 189 
Yasnogorsk 6	Volzhsk 17 Svetly 187 Sychyovka 122 Berdsk 90 Snezhinsk 162 Novosokolniki 146 
Yermolino 8	Alexandrov 160 Salavat 195 Syasstroy 177 Kungur 136 Serov 193 Abinsk 62 Balashov 82 Morozovsk 90 
Zlynka 9	Maloarkhangelsk 109 Zmeinogorsk 42 Kovylkino 115 Kolpino 188 Novomoskovsk 17 Lakinsk 77 Tayga 110 Petropavlovsk-Kamchatsky 73 Cheremkhovo 189 
Kupino 11	Zhukov 148 Belogorsk 73 Shchigry 133 Kambarka 199 Krasnouralsk 95 Gryazi 128 Sorochinsk 49 Zadonsk 100 Lagan 25 Stroitel 33 Roslavl 43 
Nurlat 4	Gorbatov 195 Kimovsk 98 Novoaltaysk 140 Protvino 182 
Gorbatov 11	Sovetsky 170 Maloarkhangelsk 11 Lesozavodsk 155 Karabulak 22 Beloyarsky 146 Krasnokamensk 195 Topki 106 Lensk 59 Nurlat 195 Bilibino 73 Kadnikov 33 
Kasimov 6	Tulun 193 Volsk 37 Pervouralsk 119 Koryazhma 20 Ivdel 85 Sokol 79 
Bikin 7	Lakhdenpokhya 18 Poronaysk 14 Soltsy 51 Yuryevets 42 Zhukov 198 Komsomolsk 176 Khasavyurt 114 
Zeya 7	Krasnoarmeysk 155 Spas-Demensk 16 Tommot 61 Solvychegodsk 45 Yegoryevsk 134 Biysk 61 Priozersk 167 
Dalnegorsk 9	Novosokolniki 167 Perevoz 43 Yakutsk 62 Iskitim 94 Rostov 12 Bobrov 112 Ardon 196 Obluchye 26 Toguchin 68 
Vyazemsky 7	Kostroma 32 Berezniki 49 Sim 159 Klimovsk 69 Talitsa 52 SergiyevPosad 43 Medyn 65 
Pavlovsk 7	Bogoroditsk 32 Azov 182 Baksan 110 Tver 146 Aniva 144 VerkhnyTagil 69 Izhevsk 74 
Gornyak 12	Kaliningrad 139 Elektrougli 102 Bagrationovsk 136 Novosokolniki 144 Zavolzhye 58 Ustyuzhna 155 Bogoroditsk 136 Domodedovo 105 Andreapol 200 Zvenigorod 19 Klimovsk 94 Kamensk-Shakhtinsky 34 
Zmeinogorsk 9	Yelizovo 49 Nikolskoye 12 Yukhnov 50 Buinsk 198 Zlynka 42 Partizansk 199 Kokhma 136 Volzhsky 21 Zubtsov 195 
Kotelnikovo 8	Fokino 23 Okulovka 62 SovetskayaGavan 191 Kanash 83 Bogorodsk 74 Shadrinsk 26 Povorino 118 VyshnyVolochyok 153 
Krasnogorsk 11	Berezniki 51 Chekhov 142 Shumikha 192 Melenki 159 Nelidovo 133 Snezhnogorsk 72 Golitsyno 134 Abaza 150 Dalnerechensk 10 Belinsky 103 Baykalsk 165 
Tetyushi 3	Udachny 153 Krasnoslobodsk 102 Vesyegonsk 15 
Uren 8	Kamyzyak 18 Kubinka 118 Zheleznodorozhny 150 Torzhok 168 Ust-Kut 165 VerkhnyTagil 11 Miass 55 Kozelsk 191 
Skovorodino 4	Komsomolsk-on-Amur 13 Morshansk 34 Yeysk 46 Petushki 17 
Gornozavodsk 5	Gusev 141 Usinsk 168 Suoyarvi 103 Rybnoye 42 Sosnovoborsk 48 
Kamennogorsk 2	Borovsk 198 Rzhev 183 
Kachkanar 7	Klin 34 Luza 166 Semikarakorsk 137 Arkadak 178 Azov 119 Petrozavodsk 150 Kirovgrad 107 
Sredneuralsk 6	Dimitrovgrad 137 Pechora 76 Znamensk 47 Medyn 135 Nazarovo 107 Kondopoga 152 
Yaroslavl 4	Innopolis 160 Buzuluk 118 Aleysk 68 Konstantinovsk 95 
Baltiysk 10	Kyshtym 120 Voskresensk 113 Kedrovy 158 Shchyokino 95 Naro-Fominsk 161 Sovetsky 155 Sychyovka 61 Inta 102 NizhniyeSergi 69 Chadan 42 
Yurga 9	Luga 175 Lytkarino 164 Petushki 12 Novomichurinsk 73 Kem 189 Velizh 133 Shakhty 176 Gubkin 183 Tobolsk 67 
Smolensk 7	Kronstadt 82 Sudogda 106 Nevel 91 Salekhard 160 Bratsk 79 Birsk 26 Staritsa 81 
Salair 10	Chapayevsk 94 Reutov 39 Pechora 98 Ruzayevka 101 Pudozh 33 Abdulino 90 Boguchar 115 Vysokovsk 32 Kyshtym 142 Sysert 60 
StaryOskol 11	Krasnoznamensk 157 Moscow 106 Volzhsky 198 Tashtagol 102 MalayaVishera 16 PetrovVal 53 Pitkyaranta 56 Ryazan 129 Kotelniki 124 Spas-Demensk 124 Kizilyurt 58 
Domodedovo 7	Gornyak 105 Noginsk 20 Shenkursk 167 Dankov 136 Balashikha 157 Kyshtym 135 Kopeysk 96 
Balabanovo 9	Shcherbinka 125 Neya 183 Maysky 129 Gvardeysk 127 Kalach-na-Donu 162 Babushkin 179 Rodniki 32 Salavat 60 Korablino 98 
Gagarin 7	Ivdel 139 NovyUrengoy 156 Tver 37 Vsevolozhsk 171 Apsheronsk 44 Ochyor 87 Bolgar 123 
Kursk 10	Krymsk 42 Tuapse 106 Kuybyshev 98 Bezhetsk 162 Karabanovo 69 Kozlovka 198 Beloyarsky 130 Shakhty 107 Tyumen 69 Chulym 92 
Lipki 11	Artyomovsky 99 Yelizovo 76 Shchyokino 123 Obninsk 147 Ust-Labinsk 102 Baley 106 Oryol 192 Nyurba 68 Rasskazovo 36 Olonets 32 Yuryuzan 64 
Kolchugino 6	Ladushkin 10 Orsk 163 Alexandrovsk-Sakhalinsky 133 Timashyovsk 89 Zheleznodorozhny 129 Meshchovsk 67 
VerkhnyUfaley 5	Beloyarsky 100 Magadan 14 Lysva 93 Obninsk 46 Kstovo 63 
Seversk 8	Tommot 91 Novocheboksarsk 54 Cherkessk 118 Lyantor 105 Andreapol 95 Svetlograd 40 Kokhma 90 Otradny 99 
Yuzhno-Sukhokumsk 5	GoryachyKlyuch 45 Udomlya 166 Kotelniki 48 Belinsky 93 Kodinsk 36 
Gudermes 7	Elista 178 Derbent 55 Kizel 57 Stavropol 189 Volzhsky 32 Vikhorevka 171 Zvenigovo 95 
Mytishchi 12	Usman 105 Dimitrovgrad 101 Belebey 51 Bratsk 97 Noginsk 191 Dmitrovsk 52 Yelnya 145 Yefremov 77 Kem 37 Kropotkin 111 BelayaKalitva 44 Severodvinsk 190 
Zainsk 4	Vorsma 80 Ryazan 98 Barysh 168 Zubtsov 34 
Alagir 8	Kizlyar 186 Pugachyov 127 Petergof 200 Osa 168 Plavsk 24 Kologriv 180 Snezhinsk 123 Severo-Kurilsk 176 
Kaspiysk 12	Zaozyorsk 73 Langepas 27 Kandalaksha 55 Melenki 102 Kalyazin 23 Khimki 155 Serov 94 Bavly 103 Kashin 56 Yuzhno-Sakhalinsk 119 Tulun 53 Samara 53 
Dno 10	GoryachyKlyuch 162 Susuman 148 Elektrostal 81 Kataysk 140 Petrovsk 96 Bugulma 100 BelayaKholunitsa 188 Frolovo 199 Nazran 164 Sokol 123 
Severobaykalsk 11	Talitsa 34 Rasskazovo 150 Vorkuta 30 VelikyUstyug 181 Pokachi 99 Kislovodsk 173 Digora 42 Bryansk 98 Olonets 27 Sovetsk 91 Dubovka 90 
Pochinok 6	Ufa 182 Yuzhnouralsk 31 Kurtamysh 50 Ivdel 138 Kostomuksha 196 Engels 36 
Buturlinovka 8	Chulym 162 Obluchye 152 Pikalyovo 38 Zhukov 140 Dubna 82 Mednogorsk 110 Oboyan 31 Krasnoufimsk 179 
Kudymkar 2	Artyom 22 Anzhero-Sudzhensk 65 
Dukhovshchina 10	Uglegorsk 138 Ilansky 193 Severomorsk 129 Kamen-na-Obi 10 Safonovo 130 Chulym 71 Okulovka 181 Bolgar 40 Barnaul 176 Vologda 133 
Tambov 4	Kireyevsk 108 Gryazi 127 Elista 48 Tobolsk 163 
Bologoye 5	Svobodny 49 Krymsk 57 Novotroitsk 19 Chernogolovka 108 Mozhaysk 130 
Gorodets 6	Balashov 112 Polysayevo 150 Yeniseysk 130 Kamyshin 198 Kineshma 57 Drezna 22 
Krasnoufimsk 10	Yuryev-Polsky 66 Sol-Iletsk 17 NizhnyLomov 176 NaberezhnyeChelny 150 Izhevsk 149 Buturlinovka 179 Kamyshin 138 StarayaKupavna 97 Izobilny 90 Millerovo 26 
Korocha 9	Kineshma 62 Novomichurinsk 151 GavrilovPosad 61 Serov 198 Ostashkov 127 Anadyr 154 Lgov 12 Uzlovaya 84 NovyUrengoy 122 
Toropets 10	Trubchevsk 15 Innopolis 86 Donskoy 200 Kingisepp 180 Okhansk 47 Khanty-Mansiysk 55 Dudinka 48 Sudogda 155 Shatura 194 Nevyansk 195 
Strezhevoy 8	Inza 29 Surazh 23 Cherkessk 172 Tutayev 28 Teberda 91 Udachny 65 Ostashkov 140 Semiluki 178 
Belozersk 5	Boksitogorsk 191 Proletarsk 49 Birsk 173 Neftegorsk 166 Gukovo 151 
Noyabrsk 8	Nyagan 159 VyshnyVolochyok 91 Alzamay 96 Lyubertsy 60 Artyom 103 Gubkinsky 181 Dyatkovo 23 Berezniki 81 
Gelendzhik 10	Vladikavkaz 57 Chaykovsky 72 Aramil 45 Kartaly 175 Petrovsk-Zabaykalsky 59 Likhoslavl 176 Cherkessk 80 Tarko-Sale 150 Kharovsk 169 Lesozavodsk 77 
Lagan 5	Kupino 25 Zaozyorny 152 Pravdinsk 88 Yarovoye 198 Ufa 142 
Megion 7	Kolpino 60 Tashtagol 90 Yoshkar-Ola 156 Makushino 56 Shchigry 198 Volzhsk 191 Ukhta 48 
Soltsy 13	Yelizovo 11 Okha 107 Kharovsk 197 Proletarsk 155 Kotovo 113 Ryazan 175 Bikin 51 Sukhinichi 135 Shakhty 86 Perevoz 76 Severodvinsk 109 Severo-Kurilsk 58 Vyksa 141 
Suoyarvi 10	Tsivilsk 70 Nevyansk 27 Obninsk 134 Gornozavodsk 103 Vetluga 33 Petushki 28 Novokubansk 73 Kola 109 GoryachyKlyuch 197 Gvardeysk 183 
Kuznetsk 7	Velizh 90 Gorodovikovsk 79 Pyt-Yakh 191 NizhnyayaSalda 121 Lyuban 90 Stavropol 144 Bagrationovsk 81 
Tarko-Sale 10	Novoalexandrovsk 91 Pushchino 113 Shchyokino 122 Gelendzhik 150 Ozyorsk 36 SaintPetersburg 179 Mozhga 121 Vidnoye 30 Arzamas 64 Porkhov 163 
Pestovo 8	Kalachinsk 166 Seltso 49 Akhtubinsk 118 Partizansk 187 Kubinka 92 Alatyr 177 Shakhty 199 Udomlya 128 
Nyagan 10	Bogoroditsk 177 SergiyevPosad 179 Luza 134 Sarov 140 Snezhnogorsk 80 Noyabrsk 159 Elektrogorsk 95 Bogdanovich 173 Kozelsk 109 Nalchik 125 
Borovichi 6	Puchezh 168 Yuzha 67 Zavolzhsk 194 Sayanogorsk 199 Makarov 59 Kimovsk 72 
Klintsy 7	Petrovsk-Zabaykalsky 200 Chulym 170 Spas-Klepiki 15 Mglin 158 Beloyarsky 195 Ulyanovsk 114 Yuryuzan 32 
Nazran 8	Yemva 156 Bavly 74 Petergof 40 Tomsk 57 Kizel 88 Dno 164 Desnogorsk 98 Chistopol 165 
Timashyovsk 10	Sobinka 15 Volosovo 122 Shatura 89 Aznakayevo 76 Kolchugino 89 Guryevsk 42 Budyonnovsk 185 Bavly 43 Votkinsk 95 Kovylkino 184 
Azov 7	Kachkanar 119 Cherepovets 110 Novomoskovsk 46 Pavlovsk 182 Kubinka 142 Zherdevka 113 Lebedyan 90 
Vysotsk 4	Uryupinsk 192 Kimry 74 NizhnyLomov 102 Povorino 200 
LodeynoyePole 6	Yanaul 166 Magnitogorsk 175 Protvino 148 Lukoyanov 104 Yubileyny 35 Tikhvin 60 
Tolyatti 5	Pokachi 179 Yadrin 11 Zelenogradsk 153 Pustoshka 111 Yelets 16 
Spas-Klepiki 7	Odintsovo 41 Orlov 166 Zavolzhsk 179 Zelenogorsk 22 PetrovVal 76 Dolgoprudny 50 Klintsy 15 
