number_of_features=3
number_of_samples=2200
features:
	pclass age sex
result:
	survived
feature1: 4
	1st
	2nd
	3rd
	crew
feature2: 2
	adult
	child
feature3: 2
	male
	female
results: 2
	yes
	no

Data:
pclass	age	sex	survived
3rd	child	male	yes
3rd	child	male	yes
3rd	child	male	yes
3rd	child	male	yes
3rd	child	male	yes
3rd	child	male	yes
3rd	child	male	yes
3rd	child	male	yes
3rd	child	male	yes
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	male	no
3rd	child	female	yes
3rd	child	female	yes
3rd	child	female	yes
3rd	child	female	yes
3rd	child	female	yes
3rd	child	female	yes
3rd	child	female	yes
3rd	child	female	yes
3rd	child	female	yes
3rd	child	female	yes
3rd	child	female	yes
3rd	child	female	yes
3rd	child	female	yes
3rd	child	female	yes
3rd	child	female	no
3rd	child	female	no
3rd	child	female	no
3rd	child	female	no
3rd	child	female	no
3rd	child	female	no
3rd	child	female	no
3rd	child	female	no
3rd	child	female	no
3rd	child	female	no
3rd	child	female	no
3rd	child	female	no
3rd	child	female	no
3rd	child	female	no
3rd	child	female	no
3rd	child	female	no
3rd	child	female	no
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	yes
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	male	no
crew	adult	female	yes
crew	adult	female	yes
crew	adult	female	yes
crew	adult	female	yes
crew	adult	female	yes
crew	adult	female	yes
crew	adult	female	yes
crew	adult	female	yes
crew	adult	female	yes
crew	adult	female	yes
crew	adult	female	yes
crew	adult	female	yes
crew	adult	female	yes
crew	adult	female	yes
crew	adult	female	yes
crew	adult	female	yes
crew	adult	female	yes
crew	adult	female	yes
crew	adult	female	yes
crew	adult	female	yes
crew	adult	female	no
crew	adult	female	no
crew	adult	female	no
